polaridad,tweet
positivo,excelent presentacion rendicion cuent secretari gestion par
positivo,concurs bellez atent derech niñez adolescent oblig asum rol adult maquill actu compit parametr estereotip gener frustracion
negativo,xenofobi gust com unaun venezolanan simon boliv
positivo, deb just coherent decent person adult mayor palabr finaliz intervencion ministr president cnii orden san juan dios
positivo,fusion dij transparent democraci respet diferent divers gobiern autor autoritar privilegi comun camin cuent president
negativo,pso venezuel cub vergenz ajen zapater apoy legitim tirani madur call violacion ddhh exod millon venezolan sanchez legitim dictadur cuban ignor opositor pid democraci
positivo,estim favor brind respuest requer ciudadan qued pendient salud cordial
negativo,propon ecuatorian cambi articul codig penal establezc abort punibl cas violacion vid salud mujer niñ
positivo,robert latorr
positivo,transmision inform semanal transparent socializ gubernamental
positivo,ley declar ley apliqu practic adecu mejor vid amazon
positivo,deleg lourd proañ reunion director program radial call coordin realizacion taller gener divers sexual
positivo,boletin ministr justici ofrec detall medi comunicacion ingres irregul asambl sofi espin crs femenin quit 
positivo,cuent cooper cooper cooper compet
negativo,delit electr refineri salud telecomun educacion sri obra public aduan pension adeud delit moren
negativo,rued prens subray sentenci constitucional cumplimient obligatori llam atencion carg polit extract consult previ vulner naturalez
positivo,insta despenaliz abort cas violacion incest malform grav fet garantiz derech sexual reproduct mujer
positivo,polit segur implement gobiern nacional result ecuador pais segur region benefici buen imag permit atraccion inversion turism
positivo, president moren recibi homolog peruan visit oficial realiz celebr años suscripcion paz brasili
positivo,dec mujer ocup carg ministr secretari
negativo,mor desnutricion madr explot sexual min orinoc violent venezuel
positivo,viern noviembr realiz rued negoci emprend emprendedor instal 
positivo,fiscali inform fiscali investig denunci abus sexual sistem educ conoc notici cas relev nivel nacional 
positivo,reun educ cientif
positivo,estudi xlii curs escuel capacit polit iguald violenci gener
positivo,invit particip feri organiz asambl coordin mañan plaz juan montalv sed legisl
positivo,boletin fiscali formul carg person asociacion ilicit usur 
positivo,music comun carg miguel calapi conciert pued disfrut año
positivo,mishell bust represent cuestion seguir violenci acos agresion niñ adolescent mujer asambl
