positivo; nop porq ofrec paquet llam larg distanci
negativo; gobiern empres gener perd entreg gener gananci entrev miembr for economi finanz noticiari empres public
negativo;inform conduzcobuen vered dobl fil andrad marin eloy
positivo;objet cnt concesion editorial
negativo;rt baironvallep urgenteel consejer gobiern scc ratif concesion empres public cntec inici ola privatiz confirm desmantelacion institucional repart sector privadoprohib olvid retorn
negativo;lte lleg ciudad disfrut tecnologi lte
negativo;
positivo;supon llam ilimit acab sald enter llam recompens problem pag 
positivo;realiz inspeccion usuari infraestructur telecomun conjunt tecnic inform ocupacion are proteg acuerd ministerial
negativo;gobiern lobist privatizacion hac bien rentabl rind promedi millon dolar ani aparec lobist privatizacion
negativo;buen empresari privatiz empres gener gananci vuelv productivasn quier cog gener gananci
positivo; graci
negativo;deci posesion ani vent deci logrosvi
negativo;oued pas servici internet fij cae algui contest tuits telf contest
negativo;ll gobiern concesion corporacion nacional telecomun ani millon 
positivo; felicit centr certific institu libr hum tabac garantiz derech salud poblacion canton
negativo; tren sueni llev nini nini patronat san jos estacion manian llen alegri histori diversion
negativo;respond colaps revision vehicul culp
negativo;public santiag cuest caputi lobist privatizacionadem recalc vot moren gobiern organiz social pobr
positivo;notici cnt creci ani lin telefoni celul arcotel cifr indic concentr lin movil
negativo;oper cabl estatal llev emocion torne sudamerican chil 
negativo; preci gallin robadal column alexis ovied 
negativo; piel llen pasion idol puebl
positivo;apoy pap cont apoyart dal
negativo;junt buen mal
positivo;auquist corazon apoyandot hij jean pierr list segu alent graderi estadi canch precis
negativo;oriental
positivo; independient vall excelent proyect esper campeon
negativo; pasion
negativo;independient
negativo; dam activ relev seman provinci compromet cumplimient obras ciudadani
negativo;enter lagrim parec actriz aprendiz
negativo;veo evad impuest vist pacienci trabaj qued util
negativo; concesion empres priv dars medi
negativo;cnt busc concesion millon dolar 
negativo;querri line telefon refier line fij querri line fij
positivo;rt pued juan carl proani cumpli sueni ani deb envi emelec particip trivi viv inolvid experient
positivo;rt pued juan carl proani cumpli sueni ani deb envi emelec particip trivi viv inolvid experient
negativo; gobiern confirm concesion empres public cnt cost mil millon dolar period 
negativo;vist sector public
negativo; seman abon centr result afect rob cabl cobr presum material sustr person dedic reciclaj call comercializ chatarr 
negativo;corporacion nacional telecomun cnt concesion sector priv prev mil emple desped cnt empres public rentabl detall 
negativo;decidi regal call herman sumari administr exsupertel corrupcion nex telconet senior villavicenci investig
negativo; vend preci gallin pest supier administr levant voz tamani atrac institu
negativo; articul mencion telefon cnt telconet cabl submarin favorec preci internet baj
negativo;empez llam vendedor favor dej llam seri acus acos vend caris compr cm borr bas dat
negativo;anunci edicion premi bichit futbol
negativo;estim envi dm problem servici internet motiv necesit solucion urgent
negativo;implement servici identific acos telemarketing
positivo;dm urg 
negativo;numer servici client internet fij
negativo;manten red nacional troncaliz atiend comun fuerz public ppnn ffa alert tempran tsunamis aduan gestion operativasn privatiz cnt acas entiend servici
negativo;favor confirm refres respuest negat envi requisit canvel contrat abus previ avis
negativo;comunic preci sub 
negativo;cdla sur milagr servici algui rob cabl lin atrev factur valor min tom molesti levant ded arregl inconvenient
negativo;colm seman telefon internet unic habl mal empres vend sector priv
negativo;report cabl electr acumul acer tungurahu aguirr
negativo;ap revel reunion tem concesion defin pid dialog banc condicion
negativo;deci posesion ani vent deci logr juzg
positivo;prom cnttriplicat diciembr recarg revis termin condicion
positivo;cas conexion mal jug gust
negativo;dir gustav larre ali lenin segur vend patri santiag consejer neoliberal gestion privatizacion empres rentabl equivoc piens gobiern inept eficient gobiern burg
negativo;rentabl quier privatiz pendej 
negativo;cuest car rat cre dueni ecuador ver puebl levant huir rab pat
negativo;vend put madr pari buen negoci pat apell caputi mafios italian
negativo;jod quit tio soci topic rob 
negativo;suen bonit recib millon privatizacion suen feo perdon millon empresari
negativo;troll cent mierd
negativo;pele sinvergenz cuest pudor entreg amig sinvergenz odiador corre rentabl ecuador mal
negativo; mil millon anticip diferent mil trabaj har mil unic diferent mil famili desemple qued sent comun
negativo;ladron 
negativo;lenin moren odi ecuador
negativo;ladron fiscalizacion asamble trujill puebl mir llev plat consecionari pag espectr radioelectr grand estaf ecuatorian
negativo;muer maldec dej hund soport pendej mes serv rif papel higien pas puebl muchisim dab plom hdlgp
negativo;concesion cer riesg dej inviert telefon
negativo;jajajajajaj
negativo;falt asco perfect negr jajajajaj
negativo;xd
negativo;cambiat netlif 
negativo; aprob
negativo;llev contador val
negativo;estorb privatiz quier privatiz
negativo;ohhh diner espant privatiz cobr tripl tranquil apoy desastr econom actual muert hambr quier concesion pag bucaram millon millon
negativo;qu barcelon payass
negativo;asco ecuatorian xenof destroz rob colombian
negativo;ah destap olla gill red social clapsul invent cobr invent quier gent sal oh
negativo;llev mes esper dejar pens servici internet complet desastr adjet pag valg pen
negativo;pur chantaj
negativo;atend pas vot
positivo;ose defiend reclam sup servici cobr terceriz ose maquin cajer cobr empres cobr ctvos mand verg
positivo;result pag farmaci cobr vuelt cas
negativo;accion
negativo;cambi panace esper ofert estandar pobr
negativo;mal servici privatiz cnt preci gallin enferm
negativo;recuerd ud mal ejempl llam glori ecuatorian carec memori
negativo;privatiz prohib constitucion
negativo;elij obsequi autograf abraz gooolll
negativo;subastal vendel don obten dig ja ja ja
negativo;compr negr
negativo;llor parqu fiest invit quier 
negativo;realment pobr comerci prens escrit limit compar diari marcador univers revist estadi ani diferent abismal
negativo;razon buen rrpp premi llam vay cubr event hag pregunt pregunt
negativo;period period multimedi coinc nomin pur hum conten seri 
negativo;vay publiqu sencill jajapor alla vem
negativo;nominacion portal burl period estim august
negativo;aclaracionesmir vide sal habl alvar nobo etern candidat derech ecuador mir pantall suel oper bols cotizanpd quier privatic cnt concurs public
negativo;borreg hp
negativo;dilem oper cambi llam ofrec line sup plan dig quier line plan movist oper sio cambi oper obten benefici 
