polaridad;tweet
negativo;"@ecuainm @CNT_EC @Lenin @SCC1705 @ElectricaQuito @TranselectricEC @CELEC_EP @MashiRafael @JorgeGlas Por favor levantarnos no puedes ser que empresas estratégicas y que son rentables puedan ser ""consecionadas""mejor dicho robadas hoy que son super rentables .Estoy es patrimonio de todos los ecuatorianos"
positivo;RT @InfoStaRosaTung: El trabajo coordinado del MINTEL y las operadoras @CNTinforma, @MovistarEC @ClaroEcua, transparentan la información de…
negativo;"RT @ecuainm: #URGENTE
Privatización de .@CNT_EC  estaría a cargo de una empresa estadounidense

Según el portal .@InformacionDura , Conseje…"
negativo;@PublicaFM @CNT_EC @RonnyToapantaAl El pueblo votó por una política de IZQUIERDA en las últimas elecciones. ¡Canallas!
positivo;@D_RomeroM_ @PacientesEc La responsabilidad social corporativa de CNT es evidente, siempre brindando el apoyo a quienes más necesiten. Una excelente gestión de la mano del Ec @D_RomeroM Nuestro respaldo siempre Fuerza Blanca del Volante!
negativo;@TuentiEC @jw2019Isra Jajajajajjajajajajajjajajajajajajajjajajajaa estos tuenti son telibles 😅🤣🤣😂😂
positivo;@teeboo2894 @microcosm_eana Yo por eso tengo @ClaroEcua tv
negativo;@CarlosVictorM @ClaroEcua @BichitoEC @estadioec @ecuavisa Debe ser un chiste...
positivo;@gisellabuendia @ClaroEcua Linda Guisse.....seguro ganarás...saludos....
negativo;@CNT_TeAyuda @CNT_EC @Arcotel_ec Buenos dias efectivamente sigo sin internet
positivo;RT @pochoharb: Hace 21 años,BSC logra uno de sus mejores resultados en torneos nacionales.Con 0-2 y 10 hombres, logró virarlo y ganó 3-2 co…
negativo;Jajaja si se les pasa la mano! @ClaroEcua https://t.co/AboxdOmy5X
positivo;RT @tomsboada: #Jugador12 @ClaroEcua  Apoyando al equipo de mi vida... Auquista de corazón siempre junto al Idolo del pueblo... vamos Aucas…
negativo;@BaironValleP @EcuadorRC @SCC1705 @CNT_EC @LuisCubillosGye @RicardoPatinoEC @MonicaBritoRC @AsambleaEcuador @LaboralAN @FrenteJovenesRC @FCEB_Ecuador @GuerrerosDig_RC @kolectiVOZ ME VALE VERGA
positivo;@LiliAguilarR Te llamó Claro? @ClaroEcua
positivo;@CNT_EC Van a transmitir la noche amarilla???
negativo;@ecuainm @CNT_EC @Lenin @SCC1705 @ElectricaQuito @TranselectricEC @CELEC_EP @MashiRafael @JorgeGlas Quién está a cargo de la auditoría? Serán públicos los documentos? Alguien sabe? Dicen q Cnt tiene superávit algún documento?
negativo;@GabrielaEsPais @CNT_EC Come muerda
negativo;"USD. 4 mil millones pide gobierno por CNT &gt; Telerama Noticias https://t.co/QqHaCau7I7 vía @teleramaec"
negativo;@ClaroEcua Amigos por favor su ayuda, no carga el link https://t.co/DaZhWMJF6w
negativo;@ChiK_Lya @ClaroEcua Huyyy jodido estos manes de claro si q son demorones e ineficientes 🤷🏻‍♂️
negativo;@ClaroEcua sres me van a tener tonteando otra vez? no pense q un televisor me iba a dar tantos problemas otra vez me cortan el servicio si tanta es su inoperatividad les devuelvo su televisor y su servicio ya fui hace 2 dias a un cac y supuestament me solucionaron hasta cuando???
negativo;@MovistarEC t debita del banco y te corta el servicio y luego dicen q el banco se toma d 4 a 5 días en cancelar a movistar y el banco dice q se cancela automáticamente el mismo momento del debito bancario,sres. d @DEFENSORIAEC revisar esto que es un ROBO descarado por @MovistarEC
negativo;"Aún recuerdo como si fuera ayer:

Cuando pusieron techo a las utilidades yo trabajaba en @ClaroEcua y salían propagandas de gobierno con imágenes sugestivas de la vida de los empleados con casas en Miami y Ferraris... Todo con la finalidad de conseguir poner el techo."
